registration_number,categories
2012/000001,Education & Culture
2012/000002,Digital & Communications
2012/000003,Social Policy
2012/000004,Agriculture & Fisheries & Animal rights
2012/000005,Health
2012/000006,Democracy & Citizens’ rights
2012/000007,Agriculture & Fisheries & Animal rights
2012/000008,Education & Culture
2012/000009,Environment & Climate
2012/000010,Environment & Climate
2012/000011,Democracy & Citizens’ rights
2012/000012,Environment & Climate
2012/000013,Democracy & Citizens’ rights
2012/000014,Transport
2012/000015,Democracy & Citizens’ rights
2012/000016,Digital & Communications
2013/000001,Social Policy
2013/000002,Environment & Climate
2013/000003,Democracy & Citizens’ rights
2013/000004,Economy & Finance
2013/000005,Education & Culture
2013/000006,Economy & Finance
2013/000007,Democracy & Citizens’ rights
2013/000008,Health
2013/000009,Health
2014/000001,Environment & Climate
2014/000002,Economy & Finance
2014/000003,Transport
2014/000004,Economy & Finance
2014/000005,Social Policy
2015/000001,Democracy & Citizens’ rights
2015/000002,Transport
2015/000003,Environment & Climate
2015/000004,Health
2015/000005,Democracy & Citizens’ rights
2015/000006,Social Policy
2016/000001,Social Policy
2016/000002,Environment & Climate
2016/000003,Education & Culture
2017/000001,Democracy & Citizens’ rights
2017/000002,Environment & Climate
2017/000003,Democracy & Citizens’ rights
2017/000004,Democracy & Citizens’ rights
2017/000005,Democracy & Citizens’ rights
2017/000006,Social Policy
2017/000007,Democracy & Citizens’ rights
2017/000008,Economy & Finance
2018/000001,Social Policy
2018/000002,Social Policy
2018/000003,Democracy & Citizens’ rights
2018/000004,Agriculture & Fisheries & Animal rights
2018/000005,Economy & Finance
2018/000006,Consumer protection
2018/000007,Consumer protection
2019/000001,Health
2019/000002,Education & Culture
2019/000003,Social Policy
2019/000004,Social Policy
2019/000005,Democracy & Citizens’ rights
2019/000006,Environment & Climate
2019/000007,Social Policy
2019/000008,Consumer protection
2019/000009,Environment & Climate
2019/000010,Environment & Climate
2019/000011,Environment & Climate
2019/000012,Agriculture & Fisheries & Animal rights
2019/000013,Environment & Climate
2019/000014,Democracy & Citizens’ rights
2019/000015,Environment & Climate
2019/000016,Agriculture & Fisheries & Animal rights
2020/000001,Agriculture & Fisheries & Animal rights
2020/000002,Democracy & Citizens’ rights
2020/000003,Social Policy
2020/000004,Digital & Communications
2020/000005,Health
2021/000001,Democracy & Citizens’ rights
2021/000002,Education & Culture
2021/000003,Environment & Climate
2021/000004,Environment & Climate
2021/000005,Consumer protection
2021/000006,Agriculture & Fisheries & Animal rights
2021/000007,Environment & Climate
2021/000008,Economy & Finance
2021/000009,Digital & Communications
2021/000010,Environment & Climate
2021/000011,Economy & Finance
2022/000001,Education & Culture
2022/000002,Agriculture & Fisheries & Animal rights
2022/000003,Agriculture & Fisheries & Animal rights
2022/000004,Social Policy
2022/000005,Health
2022/000006,Environment & Climate
2022/000007,Agriculture & Fisheries & Animal rights
2022/000008,Education & Culture
2022/000009,Consumer protection
2022/000010,Joke ECI
2023/000001,Democracy & Citizens’ rights
2023/000002,Social Policy
2023/000003,Agriculture & Fisheries & Animal rights
2023/000004,Transport
2023/000005,Democracy & Citizens’ rights
2023/000006,Economy & Finance
2023/000007,Education & Culture
2023/000008,Transport
2023/000009,Democracy & Citizens’ rights
2023/000010,Democracy & Citizens’ rights
2023/000011,Environment & Climate
2024/000001,Democracy & Citizens’ rights
2024/000002,Agriculture & Fisheries & Animal rights
2024/000003,Health
2024/000004,Health
2024/000005,Environment & Climate
2024/000006,Environment & Climate
2024/000007,Consumer protection
2024/000008,Agriculture & Fisheries & Animal rights
2024/000009,Consumer protection
2024/000010,Environment & Climate
2024/000011,Health
2025/000001,Economy & Finance
2025/000002,Agriculture & Fisheries & Animal rights
2025/000003,Consumer protection
2025/000004,Democracy & Citizens' rights
2025/000005,Democracy & Citizens' rights
2025/000006,Democracy & Citizens' rights
2026/000001,Democracy & Citizens' rights
2026/000002,Economy & Finance
2022/000003,Agriculture & Fisheries & Animal rights
2026/000004,Digital & Communications
2026/000005,Transport
